Iterations,VI avg moves,QL avg moves
1600,12542.9,260
1605,12472.3,280.4
1610,12569.7,125.4
1615,11151,257.9
1620,11037.6,230
1625,11955.3,242.5
1630,12930.8,445
1635,12081.4,267.5
1640,13000,167.5
1645,12481.1,327.5
1650,11535.7,307.9
1655,12049.5,292.5
1660,11630.3,232.5
1665,11131.7,205
1670,13000,215
1675,12138.1,280
1680,12174.5,197.5
1685,12305.9,122.9
1690,12263.9,275.4
1695,11154.1,320
1700,12020.9,198.3
1705,12324.3,145.4
1710,12410.8,435
1715,12409.6,250
1720,11082.4,330
1725,11735.5,220
1730,11982.4,242.9
1735,12560.2,90
1740,12184.1,317.5
1745,12889.1,275.4
1750,11713.9,357.9
1755,12490.5,215.4
1760,12654.9,157.9
1765,12065.6,365
1770,11856.3,165.4
1775,12043,175.4
1780,13000,192.5
1785,12912.9,412.5
1790,12185,345
1795,11969.5,350
1800,12329.2,115.4
1805,11906.4,345
1810,11968.3,285
1815,12638.4,180.4
1820,11400.8,210.4
1825,12001.7,335.4
1830,11984.1,315
1835,11151.3,162.5
1840,13000,342.9
1845,10883.3,237.9
1850,12431.6,207.9
1855,12359.2,232.5
1860,12078.5,460
1865,13000,272.9
1870,12386.2,380
1875,12199.3,365
1880,13000,287.5
1885,11889.5,280
1890,12556.4,402.5
1895,11334.3,185
1900,11780.3,225
1905,11952.3,352.5
1910,11216.4,215
1915,12473.3,137.5
1920,11928.3,200
1925,12364,312.5
1930,11510,335
1935,12285.3,212.9
1940,12192.1,305.4
1945,12438.2,225.4
1950,11544.2,292.5
1955,13000,305
1960,11234.6,292.9
1965,11813.4,257.9
1970,12586,158.3
1975,12185.8,195
1980,13000,402.5
1985,11319.3,340
1990,12553.9,225.4
1995,12626.9,195.4
2000,12226,295
2005,12448,160.4
2010,11902,205.4
2015,11817,280
2020,12661.3,372.5
2025,12086.2,322.9
2030,11801,140
2035,13000,155.4
2040,11918.6,310
2045,11023.6,227.9
2050,12216.5,272.9
2055,13000,197.5
2060,10977.5,487.5
2065,11151,157.9
2070,12131.2,132.9
2075,12351.2,315.4
2080,12854.8,280
2085,11950.4,245.4
2090,13000,140.8
2095,11828.2,360
2100,12650.6,202.5
2105,12228.8,282.9
2110,12103.7,140
2115,13000,207.9
2120,12612.3,493
2125,11912,362.5
