Iterations,VI avg moves,QL avg moves
1860,235,230
1865,201.8,160
1870,403,142.7
1875,200,112.7
1880,200.9,160
1885,162.6,140
1890,263.1,112.7
1895,243.4,112.7
1900,271.5,150
1905,258.8,170
1910,323.2,170
1915,244.8,152.7
1920,140.3,190
1925,258.6,130
1930,180.5,240
1935,237.2,180
1940,294.3,160
1945,167.9,190
1950,165.8,152.7
1955,275.8,102.7
1960,281,170
1965,272.4,170
1970,253.7,170
1975,224,122.7
1980,143.3,200
1985,246,160
1990,235,132.7
1995,156,220
2000,279.4,150
2005,290.1,170
2010,250.7,132.7
2015,276.7,180
2020,298.1,112.7
2025,376.2,190
2030,183,140
2035,167.1,210
2040,205.8,150
2045,284.7,180
2050,305.6,170
2055,233.2,120
2060,228.7,130
2065,177.8,180
2070,173.4,180
2075,276.6,160
2080,186,132.5
2085,303.6,150
2090,148.5,250
2095,202.2,160
2100,202,160
2105,290.9,140
2110,156.6,160
2115,265.4,150
2120,188.4,160
2125,342.9,180
2130,294.3,180
2135,335.1,152.5
2140,161.3,220
2145,293.1,180
2150,308.9,190
2155,298.3,160
2160,206.7,160
2165,246.5,100
2170,158.2,120
2175,199.4,202.5
2180,252.6,150
2185,167.7,140
2190,177.3,230
2195,195.7,160
2200,160.1,230
2205,143.7,170
2210,251.6,110
2215,197.3,162.5
2220,250.8,210
2225,200.3,132.5
2230,214.1,170
2235,160.7,152.5
2240,116.2,170
2245,299.1,140
2250,244.5,140
2255,256.9,170
2260,349.3,130
2265,214.3,172.5
2270,214.1,180
2275,188.8,172.5
2280,229.5,200
2285,185.6,132.5
2290,218.8,152.5
2295,200.7,142.5
2300,188.4,190
2305,201.3,140
2310,196.2,132.5
2315,283.2,120
2320,313.3,162.5
2325,156.6,130
2330,242.5,122.5
2335,188.6,210
2340,182,160
2345,218.3,122.5
2350,280,180
2355,147.2,180
2360,249.2,160
2365,287.8,150
2370,252.9,220
2375,156.1,170
2380,225,170
2385,236.6,132.5
2390,160.3,140
2395,315.5,210
2400,268.2,170
2405,286.1,180
2410,149,160
2415,207.9,140
2420,212,92.5
2425,280.9,170
2430,207.1,102.5
2435,156.9,200
2440,249.7,170
2445,202,130
2450,262.7,170
2455,218.2,210
2460,162.5,200
